iteration,l1_loss,ssim,total_loss,ema_loss,num_gaussians
100,0.1461713,0.8329923,0.1545059,0.2430579,540540
200,0.1374188,0.4849391,0.2884757,0.2984838,540540
300,0.1083078,0.4745350,0.2751707,0.2544816,540540
400,0.1283152,0.4983307,0.2776569,0.2881250,540540
500,0.1152827,0.8327981,0.1360504,0.1828195,540540
600,0.0946509,0.7158917,0.1704339,0.2219297,540540
700,0.1245658,0.6514072,0.2141766,0.2041600,540540
800,0.1337328,0.4563123,0.2977147,0.2887797,540540
900,0.0879441,0.6454605,0.1945823,0.2434853,540540
1000,0.2338445,0.5044013,0.3385462,0.2837934,540540
1100,0.1076431,0.4696805,0.2767137,0.2650015,540540
1200,0.1859895,0.5074473,0.3086148,0.2979336,540540
1300,0.1312402,0.5184527,0.2713630,0.2566602,540540
1400,0.0288819,0.9577070,0.0342463,0.1715448,540540
1500,0.0896190,0.5900639,0.2177458,0.2215998,540540
1600,0.1129567,0.6773791,0.1968224,0.2508304,540540
1700,0.1578839,0.5193753,0.2869802,0.2654184,540540
1800,0.1277506,0.5126982,0.2715711,0.2419398,540540
1900,0.1142019,0.5071560,0.2656588,0.2707088,540540
2000,0.1387370,0.7549626,0.1812572,0.2410133,540540
2100,0.0542178,0.8248922,0.1025738,0.2005446,540540
2200,0.0403573,0.8811282,0.0717631,0.1681188,540540
2300,0.1193466,0.4940760,0.2739776,0.2808575,540540
2400,0.1299481,0.7666835,0.1712955,0.2246420,540540
2500,0.1487120,0.2943228,0.3714981,0.3015118,540540
2600,0.1005030,0.5075965,0.2572632,0.2405235,540540
2700,0.1327430,0.3708430,0.3313086,0.2896484,540540
2800,0.1283889,0.3176757,0.3499631,0.2545561,540540
2900,0.1517393,0.7396218,0.1951949,0.2203793,540540
3000,0.1308172,0.5336404,0.2650342,0.2115568,540540
3100,0.1178507,0.4473611,0.2917660,0.2561740,540540
3200,0.1390163,0.3785256,0.3319996,0.2872651,540540
3300,0.0769911,0.7408047,0.1498728,0.1438642,540540
3400,0.0491712,0.8930547,0.0722809,0.1511470,540540
3500,0.1057157,0.4888749,0.2678795,0.2451076,540540
3600,0.0875574,0.6203272,0.2044036,0.2331139,540540
3700,0.1133291,0.5027323,0.2669046,0.2283142,540540
3800,0.0401646,0.8247652,0.0941927,0.1851197,540540
3900,0.0886967,0.6222156,0.2043318,0.2258178,540540
4000,0.0663786,0.6752355,0.1697330,0.1997993,540540
4100,0.1090541,0.4880940,0.2701949,0.2559884,540540
4200,0.1193884,0.4797291,0.2797414,0.2315540,540540
4300,0.0792826,0.7871503,0.1327095,0.1588697,540540
4400,0.1346034,0.4491917,0.3010854,0.2452576,540540
4500,0.1411294,0.3670495,0.3378579,0.2986485,540540
4600,0.1310972,0.4215292,0.3100466,0.2623265,540540
4700,0.1033445,0.7701486,0.1539472,0.2241603,540540
4800,0.0944063,0.6285767,0.2052131,0.1895244,540540
4900,0.1138292,0.7464676,0.1697105,0.1983582,540540
5000,0.0932365,0.6890544,0.1803201,0.2091897,540540
5100,0.1029283,0.5828992,0.2285973,0.2235793,540540
5200,0.0752282,0.6381346,0.1898831,0.2119767,540540
5300,0.0978228,0.6810346,0.1862798,0.2025995,540540
5400,0.0844355,0.7036892,0.1691856,0.2016728,540540
5500,0.1319734,0.4200932,0.3111468,0.2177732,540540
5600,0.0801950,0.6596027,0.1842759,0.2159176,540540
5700,0.1031387,0.6179789,0.2146917,0.2257256,540540
5800,0.1115813,0.5697033,0.2390675,0.2555142,540540
5900,0.1414930,0.6120871,0.2400610,0.2661086,540540
6000,0.1884696,0.4542523,0.3313808,0.2587687,540540
6100,0.1117666,0.4354762,0.2928694,0.2760269,540540
6200,0.1135532,0.4438752,0.2905819,0.2331508,540540
6300,0.1449684,0.4061188,0.3245336,0.2838827,540540
6400,0.1172553,0.5042719,0.2686444,0.2351314,540540
6500,0.1080907,0.5449436,0.2468770,0.2308151,540540
6600,0.0961840,0.6751679,0.1876433,0.2198139,540540
6700,0.1903733,0.5668014,0.2875034,0.2083259,540540
6800,0.0741572,0.7841724,0.1308253,0.1840836,540540
6900,0.0812321,0.7190588,0.1611158,0.2004696,540540
7000,0.0946975,0.5490057,0.2372163,0.2297363,540540
7100,0.0924213,0.4920058,0.2586505,0.2537816,540540
7200,0.1596099,0.7902910,0.1796496,0.2054292,540540
7300,0.1287566,0.3975970,0.3182152,0.2449877,540540
7400,0.0884216,0.6545537,0.1912315,0.1834157,540540
7500,0.0879195,0.7571322,0.1498988,0.2244328,540540
7600,0.0989809,0.5724136,0.2304231,0.1852623,540540
